season,episode,sog_id,tribal_id,castaway_id,castaway,challenge_win_rate,recent_votes_received,majority_vote_rate,has_immunity,is_post_merge,pct_game_elapsed,relative_days,tribe_size,prev_votes_survived,threat_composite,eliminated,challenge_win_pctl,vote_danger_pctl,alliance_signal_pctl,threat_pctl
1,6,6,1006,US0010,Gervase,0.5454545454545454,0,0.5,0,0,0.3333333333333333,0.46153846153846156,6,0,0.3181818181818182,0,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.4166666666666667
1,6,6,1006,US0011,Colleen,0.5454545454545454,2,1.0,0,0,0.3333333333333333,0.46153846153846156,6,1,0.3781818181818182,0,0.5833333333333334,1.0,0.75,0.9166666666666666
1,7,7,1007,US0007,Gretchen,0.5,0,1.0,0,1,0.4,0.5384615384615384,10,0,0.32,1,0.75,0.35,0.8,0.45
1,7,7,1007,US0008,Greg,0.5833333333333334,0,0.3333333333333333,1,1,0.4,0.5384615384615384,10,0,0.3533333333333334,0,1.0,0.35,0.2,0.7
1,7,7,1007,US0009,Jenna,0.5,3,1.0,0,1,0.4,0.5384615384615384,10,2,0.44,0,0.75,1.0,0.8,0.9
1,7,7,1007,US0010,Gervase,0.5,0,0.3333333333333333,0,1,0.4,0.5384615384615384,10,0,0.32,0,0.75,0.35,0.2,0.45
1,7,7,1007,US0011,Colleen,0.5,2,1.0,0,1,0.4,0.5384615384615384,10,1,0.38,0,0.75,0.9,0.8,0.8
1,7,7,1007,US0012,Sean,0.4166666666666667,0,0.6666666666666666,0,1,0.4,0.5384615384615384,10,0,0.2866666666666667,0,0.3,0.35,0.45,0.2
1,7,7,1007,US0013,Sue,0.4166666666666667,1,1.0,0,1,0.4,0.5384615384615384,10,1,0.3466666666666667,0,0.3,0.75,0.8,0.6
1,7,7,1007,US0014,Rudy,0.4166666666666667,1,1.0,0,1,0.4,0.5384615384615384,10,3,0.4666666666666667,0,0.3,0.75,0.8,1.0
1,7,7,1007,US0015,Kelly,0.4166666666666667,0,0.3333333333333333,0,1,0.4,0.5384615384615384,10,0,0.2866666666666667,0,0.3,0.35,0.2,0.2
1,7,7,1007,US0016,Richard,0.4166666666666667,0,0.6666666666666666,0,1,0.4,0.5384615384615384,10,0,0.2866666666666667,0,0.3,0.35,0.45,0.2
1,8,8,1008,US0008,Greg,0.5714285714285714,0,0.25,0,1,0.4666666666666667,0.6153846153846154,9,0,0.36857142857142855,1,1.0,0.2222222222222222,0.16666666666666666,0.4444444444444444
1,8,8,1008,US0009,Jenna,0.42857142857142855,3,0.75,0,1,0.4666666666666667,0.6153846153846154,9,3,0.49142857142857144,0,0.7222222222222222,1.0,0.6666666666666666,0.8888888888888888
1,8,8,1008,US0010,Gervase,0.5,1,0.25,1,1,0.4666666666666667,0.6153846153846154,9,1,0.4,0,0.8888888888888888,0.5555555555555556,0.16666666666666666,0.5555555555555556
1,8,8,1008,US0011,Colleen,0.42857142857142855,1,0.75,0,1,0.4666666666666667,0.6153846153846154,9,2,0.4314285714285714,0,0.7222222222222222,0.5555555555555556,0.6666666666666666,0.7777777777777778
1,8,8,1008,US0012,Sean,0.35714285714285715,0,0.5,0,1,0.4666666666666667,0.6153846153846154,9,0,0.28285714285714286,0,0.3333333333333333,0.2222222222222222,0.3888888888888889,0.16666666666666666
1,8,8,1008,US0013,Sue,0.35714285714285715,2,1.0,0,1,0.4666666666666667,0.6153846153846154,9,2,0.4028571428571429,0,0.3333333333333333,0.8333333333333334,0.9444444444444444,0.6666666666666666
1,8,8,1008,US0014,Rudy,0.35714285714285715,2,1.0,0,1,0.4666666666666667,0.6153846153846154,9,4,0.5228571428571429,0,0.3333333333333333,0.8333333333333334,0.9444444444444444,1.0
1,8,8,1008,US0015,Kelly,0.35714285714285715,0,0.5,0,1,0.4666666666666667,0.6153846153846154,9,0,0.28285714285714286,0,0.3333333333333333,0.2222222222222222,0.3888888888888889,0.16666666666666666
1,8,8,1008,US0016,Richard,0.35714285714285715,1,0.75,0,1,0.4666666666666667,0.6153846153846154,9,1,0.34285714285714286,0,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.3333333333333333
1,9,9,1009,US0009,Jenna,0.375,6,0.8,0,1,0.5333333333333333,0.6923076923076923,8,4,0.55,1,0.6875,1.0,0.6875,0.9375
1,9,9,1009,US0010,Gervase,0.4375,1,0.2,0,1,0.5333333333333333,0.6923076923076923,8,1,0.395,0,0.9375,0.625,0.125,0.5
1,9,9,1009,US0011,Colleen,0.4375,1,0.6,0,1,0.5333333333333333,0.6923076923076923,8,2,0.45500000000000007,0,0.9375,0.625,0.375,0.75
1,9,9,1009,US0012,Sean,0.3125,0,0.6,0,1,0.5333333333333333,0.6923076923076923,8,0,0.28500000000000003,0,0.3125,0.1875,0.375,0.1875
1,9,9,1009,US0013,Sue,0.3125,1,1.0,0,1,0.5333333333333333,0.6923076923076923,8,2,0.405,0,0.3125,0.625,0.9375,0.625
1,9,9,1009,US0014,Rudy,0.375,1,1.0,1,1,0.5333333333333333,0.6923076923076923,8,4,0.55,0,0.6875,0.625,0.9375,0.9375
1,9,9,1009,US0015,Kelly,0.3125,0,0.6,0,1,0.5333333333333333,0.6923076923076923,8,0,0.28500000000000003,0,0.3125,0.1875,0.375,0.1875
1,9,9,1009,US0016,Richard,0.3125,1,0.8,0,1,0.5333333333333333,0.6923076923076923,8,1,0.345,0,0.3125,0.625,0.6875,0.375
1,10,10,1010,US0010,Gervase,0.4444444444444444,1,0.16666666666666666,0,1,0.6,0.7692307692307693,7,1,0.4177777777777778,1,1.0,0.5714285714285714,0.14285714285714285,0.5714285714285714
1,10,10,1010,US0011,Colleen,0.3888888888888889,1,0.5,0,1,0.6,0.7692307692307693,7,2,0.45555555555555555,0,0.8571428571428571,0.5714285714285714,0.35714285714285715,0.8571428571428571
1,10,10,1010,US0012,Sean,0.2777777777777778,1,0.6666666666666666,0,1,0.6,0.7692307692307693,7,1,0.3511111111111111,0,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.2857142857142857
1,10,10,1010,US0013,Sue,0.2777777777777778,1,1.0,0,1,0.6,0.7692307692307693,7,2,0.4111111111111111,0,0.2857142857142857,0.5714285714285714,0.9285714285714286,0.42857142857142855
1,10,10,1010,US0014,Rudy,0.3333333333333333,1,1.0,0,1,0.6,0.7692307692307693,7,4,0.5533333333333332,0,0.6428571428571429,0.5714285714285714,0.9285714285714286,1.0
1,10,10,1010,US0015,Kelly,0.2777777777777778,0,0.5,0,1,0.6,0.7692307692307693,7,0,0.2911111111111111,0,0.2857142857142857,0.14285714285714285,0.35714285714285715,0.14285714285714285
1,10,10,1010,US0016,Richard,0.3333333333333333,4,0.8333333333333334,1,1,0.6,0.7692307692307693,7,2,0.4333333333333333,0,0.6428571428571429,1.0,0.7142857142857143,0.7142857142857143
1,11,11,1011,US0011,Colleen,0.38095238095238093,0,0.42857142857142855,0,1,0.6666666666666666,0.8461538461538461,6,2,0.47238095238095235,1,1.0,0.4166666666666667,0.16666666666666666,0.8333333333333334
1,11,11,1011,US0012,Sean,0.2857142857142857,3,0.7142857142857143,0,1,0.6666666666666666,0.8461538461538461,6,2,0.4342857142857143,0,0.5833333333333334,0.9166666666666666,0.5,0.5833333333333334
1,11,11,1011,US0013,Sue,0.23809523809523808,0,1.0,0,1,0.6666666666666666,0.8461538461538461,6,2,0.4152380952380952,0,0.16666666666666666,0.4166666666666667,0.9166666666666666,0.3333333333333333
1,11,11,1011,US0014,Rudy,0.2857142857142857,0,1.0,0,1,0.6666666666666666,0.8461538461538461,6,4,0.5542857142857143,0,0.5833333333333334,0.4166666666666667,0.9166666666666666,1.0
1,11,11,1011,US0015,Kelly,0.2857142857142857,0,0.5714285714285714,1,1,0.6666666666666666,0.8461538461538461,6,0,0.3142857142857143,0,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.16666666666666666
1,11,11,1011,US0016,Richard,0.2857142857142857,3,0.8571428571428571,0,1,0.6666666666666666,0.8461538461538461,6,2,0.4342857142857143,0,0.5833333333333334,0.9166666666666666,0.6666666666666666,0.5833333333333334
1,12,12,1012,US0012,Sean,0.2608695652173913,5,0.75,0,1,0.7333333333333333,0.9230769230769231,5,3,0.5043478260869565,1,0.6,1.0,0.4,0.8
1,12,12,1012,US0013,Sue,0.21739130434782608,0,1.0,0,1,0.7333333333333333,0.9230769230769231,5,2,0.4269565217391304,0,0.2,0.4,0.9,0.4
1,12,12,1012,US0014,Rudy,0.2608695652173913,0,1.0,0,1,0.7333333333333333,0.9230769230769231,5,4,0.5643478260869565,0,0.6,0.4,0.9,1.0
1,12,12,1012,US0015,Kelly,0.34782608695652173,0,0.5,1,1,0.7333333333333333,0.9230769230769231,5,0,0.35913043478260864,0,1.0,0.4,0.2,0.2
1,12,12,1012,US0016,Richard,0.2608695652173913,3,0.875,0,1,0.7333333333333333,0.9230769230769231,5,2,0.4443478260869565,0,0.6,0.8,0.6,0.6
1,13,13,1013,US0013,Sue,0.20833333333333334,1,1.0,0,1,0.8,1.0,4,3,0.5033333333333333,1,0.25,1.0,0.875,0.75
1,13,13,1013,US0014,Rudy,0.24,0,1.0,0,1,0.8,1.0,4,4,0.576,0,0.625,0.5,0.875,1.0
1,13,13,1013,US0015,Kelly,0.4,0,0.5555555555555556,1,1,0.8,1.0,4,0,0.4,0,1.0,0.5,0.25,0.25
1,13,13,1013,US0016,Richard,0.24,0,0.8888888888888888,0,1,0.8,1.0,4,2,0.45599999999999996,0,0.625,0.5,0.5,0.5
1,13,14,1014,US0014,Rudy,0.24,0,1.0,0,1,0.8666666666666667,1.0,3,4,0.596,1,0.5,0.5,1.0,1.0
1,13,14,1014,US0015,Kelly,0.4,0,0.6,1,1,0.8666666666666667,1.0,3,0,0.42000000000000004,0,1.0,0.5,0.3333333333333333,0.3333333333333333
1,13,14,1014,US0016,Richard,0.24,2,0.9,0,1,0.8666666666666667,1.0,3,3,0.536,0,0.5,1.0,0.6666666666666666,0.6666666666666666
2,1,1,2001,US0017,Debb,0.0,0,0.5,0,0,0.0,0.06666666666666667,8,0,0.0,1,0.5625,0.5625,0.5625,0.5625
2,1,1,2001,US0021,Kimmi,0.0,0,0.5,0,0,0.0,0.06666666666666667,8,0,0.0,0,0.5625,0.5625,0.5625,0.5625
2,1,1,2001,US0022,Michael,0.0,0,0.5,0,0,0.0,0.06666666666666667,8,0,0.0,0,0.5625,0.5625,0.5625,0.5625
2,1,1,2001,US0023,Jeff,0.0,0,0.5,0,0,0.0,0.06666666666666667,8,0,0.0,0,0.5625,0.5625,0.5625,0.5625
2,1,1,2001,US0024,Alicia,0.0,0,0.5,0,0,0.0,0.06666666666666667,8,0,0.0,0,0.5625,0.5625,0.5625,0.5625
2,1,1,2001,US0026,Nick,0.0,0,0.5,0,0,0.0,0.06666666666666667,8,0,0.0,0,0.5625,0.5625,0.5625,0.5625
2,1,1,2001,US0028,Rodger,0.0,0,0.5,0,0,0.0,0.06666666666666667,8,0,0.0,0,0.5625,0.5625,0.5625,0.5625
2,1,1,2001,US0029,Elisabeth,0.0,0,0.5,0,0,0.0,0.06666666666666667,8,0,0.0,0,0.5625,0.5625,0.5625,0.5625
2,2,2,2002,US0018,Kel,0.6666666666666666,0,0.5,0,0,0.06666666666666667,0.13333333333333333,8,0,0.2866666666666667,1,0.5625,0.5625,0.5625,0.5625
2,2,2,2002,US0019,Maralyn,0.6666666666666666,0,0.5,0,0,0.06666666666666667,0.13333333333333333,8,0,0.2866666666666667,0,0.5625,0.5625,0.5625,0.5625
2,2,2,2002,US0020,Mitchell,0.6666666666666666,0,0.5,0,0,0.06666666666666667,0.13333333333333333,8,0,0.2866666666666667,0,0.5625,0.5625,0.5625,0.5625
2,2,2,2002,US0025,Jerri,0.6666666666666666,0,0.5,0,0,0.06666666666666667,0.13333333333333333,8,0,0.2866666666666667,0,0.5625,0.5625,0.5625,0.5625
2,2,2,2002,US0027,Amber,0.6666666666666666,0,0.5,0,0,0.06666666666666667,0.13333333333333333,8,0,0.2866666666666667,0,0.5625,0.5625,0.5625,0.5625
2,2,2,2002,US0030,Keith,0.6666666666666666,0,0.5,0,0,0.06666666666666667,0.13333333333333333,8,0,0.2866666666666667,0,0.5625,0.5625,0.5625,0.5625
2,2,2,2002,US0031,Colby,0.6666666666666666,0,0.5,0,0,0.06666666666666667,0.13333333333333333,8,0,0.2866666666666667,0,0.5625,0.5625,0.5625,0.5625
2,2,2,2002,US0032,Tina,0.6666666666666666,0,0.5,0,0,0.06666666666666667,0.13333333333333333,8,0,0.2866666666666667,0,0.5625,0.5625,0.5625,0.5625
2,3,3,2003,US0019,Maralyn,0.6,0,1.0,0,0,0.13333333333333333,0.2,7,0,0.27999999999999997,1,0.5714285714285714,0.5,0.5714285714285714,0.5
2,3,3,2003,US0020,Mitchell,0.6,0,1.0,0,0,0.13333333333333333,0.2,7,0,0.27999999999999997,0,0.5714285714285714,0.5,0.5714285714285714,0.5
2,3,3,2003,US0025,Jerri,0.6,1,1.0,0,0,0.13333333333333333,0.2,7,1,0.33999999999999997,0,0.5714285714285714,1.0,0.5714285714285714,1.0
2,3,3,2003,US0027,Amber,0.6,0,1.0,0,0,0.13333333333333333,0.2,7,0,0.27999999999999997,0,0.5714285714285714,0.5,0.5714285714285714,0.5
2,3,3,2003,US0030,Keith,0.6,0,1.0,0,0,0.13333333333333333,0.2,7,0,0.27999999999999997,0,0.5714285714285714,0.5,0.5714285714285714,0.5
2,3,3,2003,US0031,Colby,0.6,0,1.0,0,0,0.13333333333333333,0.2,7,0,0.27999999999999997,0,0.5714285714285714,0.5,0.5714285714285714,0.5
2,3,3,2003,US0032,Tina,0.6,0,1.0,0,0,0.13333333333333333,0.2,7,0,0.27999999999999997,0,0.5714285714285714,0.5,0.5714285714285714,0.5
2,4,4,2004,US0020,Mitchell,0.42857142857142855,1,1.0,0,0,0.2,0.26666666666666666,6,1,0.2914285714285714,1,0.5833333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334
2,4,4,2004,US0025,Jerri,0.42857142857142855,2,1.0,0,0,0.2,0.26666666666666666,6,2,0.3514285714285714,0,0.5833333333333334,1.0,0.6666666666666666,1.0
2,4,4,2004,US0027,Amber,0.42857142857142855,0,1.0,0,0,0.2,0.26666666666666666,6,0,0.23142857142857143,0,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.4166666666666667
2,4,4,2004,US0030,Keith,0.42857142857142855,0,0.5,0,0,0.2,0.26666666666666666,6,0,0.23142857142857143,0,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.4166666666666667
2,4,4,2004,US0031,Colby,0.42857142857142855,0,1.0,0,0,0.2,0.26666666666666666,6,0,0.23142857142857143,0,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.4166666666666667
2,4,4,2004,US0032,Tina,0.42857142857142855,0,1.0,0,0,0.2,0.26666666666666666,6,0,0.23142857142857143,0,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.4166666666666667
2,5,5,2005,US0021,Kimmi,0.5555555555555556,0,1.0,0,0,0.26666666666666666,0.3333333333333333,7,0,0.3022222222222222,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5
2,5,5,2005,US0022,Michael,0.5555555555555556,0,1.0,0,0,0.26666666666666666,0.3333333333333333,7,0,0.3022222222222222,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5
2,5,5,2005,US0023,Jeff,0.5555555555555556,0,1.0,0,0,0.26666666666666666,0.3333333333333333,7,1,0.3622222222222223,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0
2,5,5,2005,US0024,Alicia,0.5555555555555556,0,1.0,0,0,0.26666666666666666,0.3333333333333333,7,0,0.3022222222222222,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5
2,5,5,2005,US0026,Nick,0.5555555555555556,0,1.0,0,0,0.26666666666666666,0.3333333333333333,7,0,0.3022222222222222,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5
2,5,5,2005,US0028,Rodger,0.5555555555555556,0,1.0,0,0,0.26666666666666666,0.3333333333333333,7,0,0.3022222222222222,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5
2,5,5,2005,US0029,Elisabeth,0.5555555555555556,0,1.0,0,0,0.26666666666666666,0.3333333333333333,7,0,0.3022222222222222,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5
2,7,7,2007,US0023,Jeff,0.5454545454545454,1,1.0,0,1,0.4,0.4666666666666667,10,2,0.45818181818181813,1,0.8,0.85,0.7,1.0
2,7,7,2007,US0024,Alicia,0.5454545454545454,0,1.0,0,1,0.4,0.4666666666666667,10,0,0.33818181818181814,0,0.8,0.4,0.7,0.55
2,7,7,2007,US0025,Jerri,0.36363636363636365,1,0.6666666666666666,0,1,0.4,0.4666666666666667,10,2,0.3854545454545455,0,0.25,0.85,0.2,0.9
2,7,7,2007,US0026,Nick,0.5454545454545454,0,1.0,0,1,0.4,0.4666666666666667,10,0,0.33818181818181814,0,0.8,0.4,0.7,0.55
2,7,7,2007,US0027,Amber,0.36363636363636365,0,0.6666666666666666,0,1,0.4,0.4666666666666667,10,0,0.2654545454545455,0,0.25,0.4,0.2,0.2
2,7,7,2007,US0028,Rodger,0.5454545454545454,0,1.0,0,1,0.4,0.4666666666666667,10,0,0.33818181818181814,0,0.8,0.4,0.7,0.55
2,7,7,2007,US0029,Elisabeth,0.5454545454545454,0,1.0,0,1,0.4,0.4666666666666667,10,0,0.33818181818181814,0,0.8,0.4,0.7,0.55
2,7,7,2007,US0030,Keith,0.45454545454545453,5,0.6666666666666666,1,1,0.4,0.4666666666666667,10,1,0.3618181818181818,0,0.5,1.0,0.2,0.8
2,7,7,2007,US0031,Colby,0.36363636363636365,0,1.0,0,1,0.4,0.4666666666666667,10,0,0.2654545454545455,0,0.25,0.4,0.7,0.2
2,7,7,2007,US0032,Tina,0.36363636363636365,0,1.0,0,1,0.4,0.4666666666666667,10,0,0.2654545454545455,0,0.25,0.4,0.7,0.2
2,8,8,2008,US0024,Alicia,0.46153846153846156,0,0.6666666666666666,0,1,0.4666666666666667,0.5333333333333333,9,0,0.32461538461538464,1,0.7777777777777778,0.4444444444444444,0.2777777777777778,0.6111111111111112
2,8,8,2008,US0025,Jerri,0.38461538461538464,0,0.75,0,1,0.4666666666666667,0.5333333333333333,9,2,0.41384615384615386,0,0.4444444444444444,0.4444444444444444,0.6666666666666666,1.0
2,8,8,2008,US0026,Nick,0.46153846153846156,0,0.6666666666666666,0,1,0.4666666666666667,0.5333333333333333,9,0,0.32461538461538464,0,0.7777777777777778,0.4444444444444444,0.2777777777777778,0.6111111111111112
2,8,8,2008,US0027,Amber,0.3076923076923077,0,0.75,0,1,0.4666666666666667,0.5333333333333333,9,0,0.2630769230769231,0,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.16666666666666666
2,8,8,2008,US0028,Rodger,0.46153846153846156,0,0.6666666666666666,0,1,0.4666666666666667,0.5333333333333333,9,0,0.32461538461538464,0,0.7777777777777778,0.4444444444444444,0.2777777777777778,0.6111111111111112
2,8,8,2008,US0029,Elisabeth,0.46153846153846156,0,0.6666666666666666,0,1,0.4666666666666667,0.5333333333333333,9,0,0.32461538461538464,0,0.7777777777777778,0.4444444444444444,0.2777777777777778,0.6111111111111112
2,8,8,2008,US0030,Keith,0.46153846153846156,5,0.75,1,1,0.4666666666666667,0.5333333333333333,9,1,0.3846153846153846,0,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.8888888888888888
2,8,8,2008,US0031,Colby,0.3076923076923077,9,1.0,0,1,0.4666666666666667,0.5333333333333333,9,1,0.32307692307692304,0,0.2222222222222222,1.0,0.9444444444444444,0.3333333333333333
2,8,8,2008,US0032,Tina,0.3076923076923077,0,1.0,0,1,0.4666666666666667,0.5333333333333333,9,0,0.2630769230769231,0,0.2222222222222222,0.4444444444444444,0.9444444444444444,0.16666666666666666
2,10,9,2009,US0025,Jerri,0.4,4,0.8,0,1,0.5333333333333333,0.6666666666666666,8,3,0.5,1,0.6875,0.875,0.625,1.0
