castaway_id,castaway,tribe,season,episode,sog_id,tribal_id,is_merged,n_players_at_tribal,n_players_remaining,game_progress,eliminated,running_ind_immunity_win,running_ind_reward_win,running_tribal_immunity_win,running_total_challenges,running_attended,running_votes_received,running_voted_correctly,current_ep_votes_received,has_individual_immunity,vote_danger_ratio,historical_vote_pressure,majority_vote_rate,running_ind_immunity_win_rank,running_total_challenges_rank,running_votes_received_rank,running_attended_rank,running_voted_correctly_rank,current_ep_votes_received_rank,vote_danger_ratio_rank,historical_vote_pressure_rank,majority_vote_rate_rank,is_returnee_season,profile_ChW,profile_TotCh,profile_ChW%,profile_SO,profile_VFB,profile_VAP,profile_TotV,profile_TCA,profile_TC%,profile_wTCR,profile_VFT,profile_JVF,profile_TotJ,profile_JV%,profile_SurvSc,profile_SurvAv,profile_Days,profile_Non-VFB,profile_InRCA,profile_InRCW,profile_InICA,profile_InICW,profile_InChA,profile_InChW,profile_TRCA,profile_TRCW,profile_TICA,profile_TICW,profile_TChA,profile_TChW,profile_TChW%,profile_TRC 2nd,profile_TIC 2nd,profile_TrCh 2nd,profile_ChW_rank,profile_TotCh_rank,profile_ChW%_rank,profile_SO_rank,profile_VFB_rank,profile_VAP_rank,profile_TotV_rank,profile_TCA_rank,profile_TC%_rank,profile_wTCR_rank,profile_VFT_rank,profile_JVF_rank,profile_TotJ_rank,profile_JV%_rank,profile_SurvSc_rank,profile_SurvAv_rank,profile_Days_rank,profile_Non-VFB_rank,profile_InRCA_rank,profile_InRCW_rank,profile_InICA_rank,profile_InICW_rank,profile_InChA_rank,profile_InChW_rank,profile_TRCA_rank,profile_TRCW_rank,profile_TICA_rank,profile_TICW_rank,profile_TChA_rank,profile_TChW_rank,profile_TChW%_rank,profile_TRC 2nd_rank,profile_TIC 2nd_rank,profile_TrCh 2nd_rank
US0014,Rudy,Saboga,8.0,2.0,2.0,8_2,0,5,17,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.6,0.0,1.0,0.6,0.6,0.5,0.6,0.7,1.0,1.0,0.5,0.7,1,0.2,0.5666666666666667,0.35294117647058826,0,1,3,11,2,0.36363636363636365,2.0,1,0,7,0.0,0.7165775401069518,2.2,6.0,1,0.0,0.0,0.0,0,0.0,0.0,1,1,2,0,3,1,0.3333333333333333,0,0,0,0.2,0.2,1.0,0.6,0.2,0.2,0.2,0.2,0.4,0.4,0.2,0.6,0.6,0.6,0.4,0.4,0.2,0.5,0.4,0.5,0.4,0.6,0.4,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.2,0.6,0.2
US0013,Sue,Chapera,8.0,4.0,4.0,8_4,0,6,15,0.0,0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,1,0.6345238095238095,1.6261904761904762,0.39019033674963394,2,1,7,13,2,0.23076923076923078,1.2727272727272727,1,0,7,0.0,0.6209595675188647,1.9072510822510822,17.0,1,0.0,0.0,0.0,0,0.0,0.0,5,0,4,3,9,3,0.3333333333333333,1,0,1,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.9166666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.25,0.5,0.25,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.75,0.5833333333333334,0.75
US0024,Alicia,Chapera,8.0,4.0,4.0,8_4,0,6,15,0.0,0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.1666666666666666,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.5833333333333334,1,1.6678571428571427,7.80952380952381,0.21356707317073167,2,3,7,30,4,0.6916666666666667,1.9090909090909092,2,0,7,0.0,0.9052337398373983,3.576948051948052,30.0,1,2.0,0.0,3.0,0,5.0,0.0,7,4,7,4,14,8,0.5714285714285714,1,0,1,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.9166666666666666,0.5,0.5,0.5,0.5,0.5,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.75,0.9166666666666666,0.75,0.5,0.75,0.75,0.5833333333333334,0.75,0.5833333333333334,0.75
US0027,Amber,Chapera,8.0,4.0,4.0,8_4,0,6,15,0.0,0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,1,2.7011904761904764,12.80952380952381,0.2108736059479554,2,8,6,50,8,0.985,2.8,4,4,7,0.5714285714285714,1.7673021773765267,8.929761904761905,39.0,0,3.0,0.0,7.0,1,10.0,1.0,7,3,7,5,14,8,0.5714285714285714,1,0,1,0.8333333333333334,0.9166666666666666,0.16666666666666666,0.6666666666666666,0.9166666666666666,0.6666666666666666,1.0,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0,0.5833333333333334,1.0,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.25,0.8333333333333334,0.5,0.9166666666666666,0.75,0.9166666666666666,0.75,0.75,0.6666666666666666,0.75,0.75,0.75,0.75,0.5833333333333334,0.75,0.5833333333333334,0.75
US0045,Tom,Chapera,8.0,4.0,4.0,8_4,0,6,15,0.0,0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,1,2.242857142857143,9.80952380952381,0.2286407766990291,4,5,4,41,6,0.8170731707317073,2.9166666666666665,5,0,7,0.0,1.0457139474307364,5.15952380952381,36.0,1,3.0,0.0,4.0,1,7.0,1.0,7,1,7,5,14,6,0.42857142857142855,0,0,0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.8333333333333334,0.5,0.6666666666666666,0.75,0.6666666666666666,0.75,0.75,0.3333333333333333,0.75,0.75,0.75,0.5,0.3333333333333333,0.25,0.5833333333333334,0.25
US0055,Boston Rob,Chapera,8.0,4.0,4.0,8_4,0,6,15,0.0,0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,1,7.067857142857143,12.80952380952381,0.5517657992565056,0,8,1,48,8,0.9973958333333334,5.6,7,3,7,0.42857142857142855,1.9777330611612676,15.239285714285714,39.0,0,3.0,1.0,7.0,4,10.0,5.0,7,4,7,6,14,10,0.7142857142857143,1,0,1,1.0,0.9166666666666666,0.8333333333333334,0.16666666666666666,0.9166666666666666,0.16666666666666666,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,0.8333333333333334,0.5833333333333334,0.8333333333333334,1.0,1.0,0.9166666666666666,0.25,0.8333333333333334,1.0,0.9166666666666666,1.0,0.9166666666666666,1.0,0.75,0.9166666666666666,0.75,1.0,0.75,1.0,1.0,0.75,0.5833333333333334,0.75
US0094,Rob C.,Chapera,8.0,4.0,4.0,8_4,0,6,15,0.0,1,0.0,0.0,2.0,4.0,0.0,0.0,0.0,5.0,0.0,0.8333333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,1.0,0.5833333333333334,0.5833333333333334,1,0.7833333333333333,1.2333333333333334,0.6351351351351351,1,0,5,6,1,-0.8333333333333334,0.0,0,0,7,0.0,-0.19819819819819828,0.7833333333333333,12.0,1,0.0,0.0,0.0,0,0.0,0.0,3,2,3,2,6,4,0.6666666666666666,0,0,0,0.3333333333333333,0.16666666666666666,1.0,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.75,0.25,0.5,0.25,0.3333333333333333,0.25,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.25,0.5833333333333334,0.25
US0025,Jerri,Mogo Mogo,8.0,5.0,5.0,8_5,0,7,14,0.0,0,0.0,0.0,1.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.5714285714285714,0.5,0.9285714285714286,1.0,0.4285714285714285,0.4285714285714285,0.5,1.0,1,0.7416666666666666,2.642857142857143,0.2806306306306306,0,5,7,33,6,0.797979797979798,2.121212121212121,3,0,7,0.0,1.0786104286104286,2.862878787878788,24.0,1,0.0,0.0,0.0,0,0.0,0.0,6,2,7,1,13,3,0.23076923076923078,1,0,1,0.35714285714285715,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.8571428571428571,0.9285714285714286,0.7142857142857143,0.8571428571428571,1.0,0.8571428571428571,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,0.7142857142857143,0.5714285714285714,0.35714285714285715,0.35714285714285715,0.5714285714285714,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.6428571428571429,0.7857142857142857,0.9285714285714286,0.6428571428571429,0.9285714285714286,0.8571428571428571,0.7142857142857143,0.21428571428571427,0.21428571428571427
US0031,Colby,Mogo Mogo,8.0,5.0,5.0,8_5,0,7,14,0.0,0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.1428571428571428,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5,0.4285714285714285,0.4285714285714285,0.8571428571428571,0.8571428571428571,0.5,0.4285714285714285,1,0.8083333333333332,1.9595238095238097,0.4125151883353584,1,1,4,12,2,0.33333333333333337,1.75,0,0,7,0.0,0.7458485216686918,2.558333333333333,19.0,1,0.0,0.0,0.0,0,0.0,0.0,6,2,6,0,12,2,0.16666666666666666,1,3,4,0.6428571428571429,0.2857142857142857,1.0,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.21428571428571427,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.5714285714285714,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.5,0.6428571428571429,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.5,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.9285714285714286
US0046,Lex,Mogo Mogo,8.0,5.0,5.0,8_5,0,7,14,0.0,0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.5,0.4285714285714285,1,0.8083333333333332,4.55952380952381,0.17728459530026106,0,4,7,31,5,0.7548387096774194,2.036363636363636,4,0,7,0.0,0.9321233049776805,2.8446969696969693,27.0,1,1.0,0.0,1.0,0,2.0,0.0,6,2,7,0,13,2,0.15384615384615385,1,3,4,0.6428571428571429,0.7142857142857143,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.9285714285714286,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.7857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.35714285714285715,0.7857142857142857,0.5714285714285714,0.7857142857142857,0.42857142857142855,0.7857142857142857,0.42857142857142855,0.5,0.6428571428571429,0.7857142857142857,0.42857142857142855,0.6428571428571429,0.5,0.5714285714285714,0.7142857142857143,0.7857142857142857,0.9285714285714286
